order_id,order_date,product_name,category,quantity,unit_price,region,sales_rep,status
ORD057,2025-01-01,Project Management Tool,Software,5,15.13,Asia Pacific,David Brown,Pending
ORD144,2025-01-14,Cloud Storage Plan,Software,3,9.21,North America,Frank Miller,Completed
ORD191,2025-01-15,Laptop Bag,Accessories,6,34.11,North America,Frank Miller,Completed
ORD024,2025-01-17,Wireless Mouse,Electronics,6,28.36,North America,David Brown,Completed
ORD046,2025-01-21,Bluetooth Speaker,Electronics,6,38.91,Europe,David Brown,Completed
ORD043,2025-01-23,Laptop Stand,Electronics,1,47.95,Asia Pacific,Carol Williams,Completed
ORD060,2025-01-24,Standing Desk Mat,Office,4,37.17,Latin America,Bob Smith,Pending
ORD145,2025-01-27,Antivirus License,Software,3,37.38,Latin America,Bob Smith,Completed
ORD010,2025-01-29,Paper Shredder,Office,4,77.18,North America,Frank Miller,Pending
ORD163,2025-01-29,Whiteboard,Office,1,54.83,Europe,Emma Davis,Completed
ORD149,2025-02-03,Monitor Stand,Electronics,3,35.75,Asia Pacific,Frank Miller,Pending
ORD039,2025-02-05,Cloud Storage Plan,Software,4,10.86,Asia Pacific,Emma Davis,Completed
ORD158,2025-02-05,Filing Cabinet,Office,3,134.08,North America,Bob Smith,Cancelled
ORD029,2025-02-08,Project Management Tool,Software,8,14.24,North America,Alice Johnson,Cancelled
ORD118,2025-02-08,Wrist Rest,Accessories,8,16.4,Asia Pacific,Frank Miller,Pending
ORD166,2025-02-09,Laptop Stand,Electronics,6,40.66,Latin America,Grace Lee,Pending
ORD007,2025-02-10,Webcam HD,Electronics,4,63.27,North America,Grace Lee,Completed
ORD082,2025-02-14,Cloud Storage Plan,Software,5,10.65,Latin America,David Brown,Pending
ORD104,2025-02-16,Wrist Rest,Accessories,8,15.93,Asia Pacific,Grace Lee,Completed
ORD174,2025-02-16,Antivirus License,Software,10,41.15,Latin America,Henry Wilson,Cancelled
ORD002,2025-02-17,Laptop Stand,Electronics,4,40.78,Europe,Alice Johnson,Cancelled
ORD199,2025-02-23,Paper Shredder,Office,10,82.5,Asia Pacific,Carol Williams,Completed
ORD041,2025-02-24,Desk Lamp,Office,9,27.68,Europe,Emma Davis,Completed
ORD062,2025-02-24,Paper Shredder,Office,7,82.99,Europe,Carol Williams,Cancelled
ORD077,2025-02-25,Mechanical Keyboard,Electronics,10,98.35,North America,Emma Davis,Pending
ORD110,2025-03-02,Ergonomic Chair,Office,3,297.68,Latin America,Emma Davis,Cancelled
ORD164,2025-03-03,Desk Lamp,Office,1,28.73,Latin America,Grace Lee,Completed
ORD063,2025-03-04,Laptop Bag,Accessories,8,35.39,Europe,Henry Wilson,Cancelled
ORD055,2025-03-05,Design Software,Software,5,28.87,Asia Pacific,Grace Lee,Completed
ORD091,2025-03-06,Bluetooth Speaker,Electronics,8,41.57,North America,Alice Johnson,Completed
ORD056,2025-03-07,Wrist Rest,Accessories,4,14.38,Latin America,Grace Lee,Completed
ORD181,2025-03-07,Wrist Rest,Accessories,9,15.86,North America,Grace Lee,Cancelled
ORD037,2025-03-09,Cloud Storage Plan,Software,5,9.52,Latin America,Frank Miller,Completed
ORD108,2025-03-09,Webcam HD,Electronics,5,57.2,Latin America,Henry Wilson,Completed
ORD130,2025-03-09,Laptop Bag,Accessories,2,35.55,Asia Pacific,Frank Miller,Pending
ORD112,2025-03-11,Filing Cabinet,Office,2,130.2,Asia Pacific,Grace Lee,Completed
ORD013,2025-03-12,Cloud Storage Plan,Software,9,10.98,Latin America,Bob Smith,Completed
ORD170,2025-03-16,Cloud Storage Plan,Software,5,9.46,Europe,Carol Williams,Completed
ORD193,2025-03-18,Wireless Mouse,Electronics,9,28.53,Latin America,Bob Smith,Completed
ORD138,2025-03-21,Design Software,Software,7,29.5,North America,Henry Wilson,Pending
ORD096,2025-03-22,Desk Lamp,Office,4,30.95,Europe,Bob Smith,Completed
